undermining|assault
risk|save,intend
desegregation|sequestration
rise|bed,lie down,go to bed,death,sink,flounder,settle,downfall,lurk,result,descent,fade,fall,wane,decline,turn in,term,sit down,group
occupant|nonresident
haired|hairless
discard|employ,prefer,examine,consume,seek,applicant,indulge,accompany,appraise,adopt,engage,keep,cite,accredit,invite
subsidy|substantial,supposititious,weak,visionary,disembodied,ghostly,imaginary,spiritual,chimerical,unreal,immaterial,insubstantial,fictitious
loaner|borrower
tastily|tastelessly
hatred|love,liking,adoration,fondness,friendship,charity,benevolence,beneficence
ideality|literaliti/,imitation,uninventiveness,copyism,unimaginativeness
catch|give,restore,unhitch,release,lose,go,fling,fen,miss,fail,of,let,up,medicate
nonessential|necessary,requisite,essential
discase|dress
give|hinge,prohibit,retain,back,starve,absorb,remove,hold,refuse,grasp,recall,restrain,bear,attain,catch,receive,deny,contain,adhere,accept,take,fail,with,withhold,endure,support,send,withdraw
liven|deaden
counsel|conjecture,think,fancy,surmise,guess,count
blandiloquence|harangue
good-tempered|wrathful
ekdow|deprive
contention|harmony,peace,amity,axt,arbitration,reconciliation,cooperation,concord
lofty|humble,unimposing,low,pitiful,lowly,depressed,stunted,ordinary,unassuming,base,undignified
explicit|vague,implicit,tacit,virtual,latent,im-,immanent,inflated,ambiguous,potential,doubtfulindefinite,uncertain
propriety|improperness,impropriety
browbeat|brotherhood
salubriousness|virulence
abash|embolden,buoy,encourage,incite,inspirit,uphold,animate,abet,cheer,rally,countenance
consequential|humble,accessible,considerate,incoherent,illogical,affable
syncategorem|categoreme,categorem
abase|exalt,promote,uplift,honor,raise,heighten,aggrandise,dignify,elevate
utilize|lose
get-go|middle
inhabited|uninhabited
subside|burn,grow,effervesce,fill,boil
minimise|maximize,overstate,amplify,maximise
reverberation|percussion,silence
palingenetic|cenogenetic
implicit|explicit,plain,unambiguous,expressed,developed,specific,stated
explicitly|implicitly
futile|effective,solid,powerful,potent,sad,cogent,useful,substantial
tedition|federation
undeserved|just
dowdy|foppish,flaring,neat,gay,smart
abate|accrue,develop,increase,magnify,amplify,extend,aggravate,continue,prolong,enlarge,raise,foment,revive,enhance
visibly|invisibly
occasionally|always,a,regularly,ways,frequently,i,constantly
unpopularity|popularity
unstaged|staged
amass|parcel,loaste,squander,scatter,spend,portion,disperse,divide,dissipate,distribute
immaterial|prominent,subsidy,portant,palpable,tangible,corporeal,material,elementary,im~,physical,urgent,vital,essential
venturesome|aforesaid,time,fearful
energise|calm,de-energize,sedate,de-energise
superannuated|juvenile
tentative|radical
wrong|lawful,correct,proper,rightfulness,right,rectitude,correctly,admissible,authority,virtuous,honest,justice,compensate,apology
bucket along|linger
heady|unskilled,slow,hesitating,diffi-,inexpeditious,tardy,hard,inexpert,clumsy,inept
enchanted|disenchanted
incredulous|credulous
crystallization|incandescence
eruption|swallowing,inburst,absorption,engrossment,engulfing,consumption,devouring,irruption
indefatigable|indolent,idle,indifferent
board|get off
incontinent|continent,abstinent
heach|weigh,set,away,sail,leave,anchor,embark,start,go,depart,out
uninterested|curious,interested,breast,inquisitive
eruptive|aqueous
used|misused
constantly|occasionally
bootless|effective,profitable,effectual,useful
unmeasurable|measurable
earned|unearned
sturdiness|disease
self-respecting|importunate
enchain|loose,extricate,liberate,free,manumit
letting|detention
misfittingly|hermetically
prix fixe|a la carte
tangle|unsnarl,disentangle,unknot,unravel
visible|latent,impalpable,perceptible,indistinguishable,invisible,itn~,eclipsed,microscopic,concealed,unseen,indiscernible
intrigue|straight,assault,rebellion,congress,honesty,openness,force,fonvardness,insurrection,sincerity,candor,violence
irremediable|remediable
orient|disorient
red ink|gain
inextensible|extensile
monovular|fraternal
inwards|outwards,outward
effects|estate
indifferent|aforesaid,deep,ardent,sympathetic,friendly,crucial,fiery,careful,jealous,vehement,anxious,eligible,greedy,inquisitive,aghast,curious,wary,studious,sensitive,zealous,susceptible,sharp,keen,lively,agape,indefatigable,earnest,breast
unreliability|dependability
solemn|farcical,droll,humorous,joyful
unworthy|estimable,noble,respectable,worthy
inexpertness|mastery
weigh|countervail,heach,waft
unsure|sure,certain
imprisonment|freedom,liberty
demilitarize|militarize,militarise,arm
fortuity|necessity
endurance|brunt,impatience
calced|discalced
rocky|smooth
necessarily|unnecessarily
immovability|movableness,movability
relaxed|tense,intense
fatility|trial
inversion|inventory
parallel|oblique,opposed,incongruous,divergent,irrelative,different
unrhythmical|rhythmical
wearisome|quick,invigorating,comfortable,interesting,exciting,delightful,stirring,facile,fascinating,amusing,easy,pleasing
designed|undesigned
clearsighted|foolish
breach|observance,wholeness,inviolat,fidelity,completeness,union,reconciliation,observe,abutment,healing,integrity,conservation,habit,keep,fiawlessness,amalgamation,eness
desperado|coward
handful|host
ribbed|ribless
unblemished|blemished
designer|mechanic
unfashionableness|vogue
shine|flicker
surpass|pail
aboral|oral
unhealthfulness|infirmity
unsuggestive|sign
aborad|orad
shiny|unglazed
succumb|survive,conquer,chafe,overcome,endure,vanquish,domineer
unfold|fold
illegalize|legalize
translucent|opaque
storming|bulwark
conciliatory|antagonistic,despotic
bring|debar,subtract,exclude,transport,abstract,export,send,take away,remove
brine|fresh water
aversion|liking,fancy,attraction,fondness,attachment,tendency,aspiration,devotion,leaning,appetite,hobby
humourless|humorous
bivouac|wander
unmated|mated
denticulate|file
perch|flutter,wander
neglect|elaborate,beware,aim,achieve,industry,do,seek,correspond,listen,cursory,diligence,institution,reflect,see,sight,proverb,fulfil,attend to,keeping,heed,message,nurture,conservation,criticize,discern,keep,cognizance,attention,cultivate,describe,attendance
nonmetal|metallic
carve|engrave
leave office|take office
league|disconnection,disunion,disruption,secession,council,dissolution,divorce,alienation,neutrality
uncolored|colored
illogically|logically
sinkable|unsinkable
populousness|solitude
apocryphal|current,authorized,authentic,verified,attested,accepted,genuine,palpable
innovating|conservative
endlessly|finitely
ill humour|good humor
exacerbate|better
upstart|immemorial,ancient
lawfully|unlawfully,illicitly,lawlessly
heterodox|sound,orthodox
permanency|impermanence
unfeathered|feathered
dauntlessly|fearfully
furnished|unfurnished,devoid
unobserving|heedful
permanence|impermanence,locomotion,alteration,inventory,intermission,conversion
adaxially|abaxially
innovation|conservation,obsolescence,old,archaism,maintenance,fashion
unlubricated|lubricated
dissimilate|assimilate,imitate
alternate|successive,sequent,continuous,proximate,opposite,consequent,paired
attainment|genius,ignorance,inspiration,intuition
obligated|unobligated
enchant|repel,shock,horrify,alienate,disenchant,disgust,estrange,disillusion
decipher|encode,inscribe
seemly|get
essential|inessential,regulative,extraneous,vain,superfluous,procedural,redundant,accidental,promotive,adjective,adventitious,nominal,qualitative,quantitative,induced,imported,immaterial
sanctity|unholiness
scalable|unscalable
faithfulness|injustice,infidelity
inconducive|effective,useful
haunt|abandon
lightness|load,heaviness,weight,validity,darkness,burden
uncollected|gathered,collected
unitary|federal
bristling|scant,prone,nude,bare,devoid,vacant,smooth,soothed,allayed
matutinal|late,waning,vesper,evening,turilight
murky|radiant
meaningful|meaningless
manageable|refractory,stubborn,impracticable,wayward,impossible,difficult,wilful,restive,untamable,rebellious,ungovernable,uncontrollable,unmanageable
generosity|meanness,greediness,guile,cupidity,stinginess
sympatry|allopatry
unsimilarity|similarity
warning|instance,reminiscence
exclude|comprehend,include,admit,contain,embrace,bring,ascribe,insert,invite
unportable|portable
amalgamation|breach,solution
counte-|lineament
immeasurably|measurably
crabbed|amiable
restlessness|equanimity,composure,best
homogeneous|complex,repugnant,heterogeneous
abstruseness|clarity
impiously|piously
out-of-door|indoor
manhood|womanhood,effeminacy,coioardliness,femininity,coicardice,delicacy
burst|cohere,stick,implode,adhere,stand,together,hold
carry|drop,shake,be,separate,go,down,off,cast,fall,throw,leave,let,from,impede,drag,under,send,retard
immeasurable|infinitesimal,immature,measurable
necessity|inessential,alternative,doubt,fortuity,uncertainty,volition,freedom,liberty,contingency,doubtfulness,dubiousness,choice,possibility,option
metier|weak point
virtuously|immorally
immodest|virtuous,pure,modest
inhumaneness|humaneness
origin|lineage,termination,sion,pedigree,result,consequence,conclu',extinction,consummation,fruit,term,extremity
grappling|evasion
modestly|immodestly
curtained|curtainless
unperplexed|perplexed
de-ionate|ionate
imprecision|precision,preciseness
overhand|underhand
bodoni|old style
sanction|prohibit,cancellation,non-support,imposition,disallowance,disapproval,vitiate,disapprove,abrogation,discountenance,unauthorization,nullification
aping|womanish
trouble|console,ease,appeasement,boon,fortune,composure,pleasure,recreation,gladness,alleviation,happiness,joy,gladden,success,peace,affluence,rejoice,facility,delight,blessing,amusement
dutiful|obstinate,rebellious
impermanent|sure,permanent,lasting
attended|forlorn,unaccompanied
gaucherie|urbanity
'quality|ineffectiveness,weakness,negation,incapacity,distinction,anomalousness,of,disqualification,nondescript,heterogeneity,lack
indetermination|verdict
counter|toith,consonant,coincident,accordant
unmask|hide,feign,pretend,mask
subsequence|priority,precedence
perpetuity|generation,period,intermission
management|misconduct,mismanagement,maladministration
publish|hide,falsify,bury
go with|straddle
curiousness|nativeness
decade|moment
public-spirited|venal,selfish
deprave|cleanse,ennoble
go under|rise,float
disbelieve|confide,believe,accredit
transcribe|indite
carol|groan,whine,croak,lament,dirge,cry,moan,weep
agony|ease,enjoyment,composure,happiness,assuagement,relief,comfort,heaven
burnt|unburned
orderliness|disorder,sedition,implication,tumult
encouraging|discouraging,captious,ominous,forbidding,frightful
literally|figuratively
slippy|nonslippery
malign|benign
conservation|innovation,breach,abolition,exposure,havoc,inventory,elimination,wreath,destruction,neglect,conversion,violence
undiscipline|discipline
remotely|nearly,lately,directly
noncitizen|citizen
roofless|roofed
pugnance|appetite
immaturity|maturity
admonish|encourage,instigate,urge,applaud,abet,entice,countenance
calumniator|parasite
gibberish|language
amplify|reduce,attenuate,abbreviate,abridge,diminish,understate,condense,amputate,epitomize,abate,summarize,circumscribe,minimise
delegate|intercept
wifely|husbandly
peril|assurance,preservation,security,safety,refuge,certainty
honestness|dishonesty
poicerless|formidable,cogent
exuberant|effete,crestfallen
unskilful?|adroit
remembrance|forgetfulness,expectation,oblivion
unwedded|marital
unappalling|tremendous
portant|immaterial
dulness|wit,emulation,oratory,discernment,lucubration,animation,intelligence,genius,capability,edge,trace,acumen,enthusiasm,liveliness,perspicacity,aspiration,understanding,discrimination,power
virginity|wedlock,marriage,wedding,matrimony
penitent|impenitent,jubilant,unrepentant,abandoned
wandering|linear,way
generally|seldom,narrowly
verbose|concise,epigrammatic,short
felicitation|catastrophe
fastness|looseness
homocentric|eccentric
complete|incomplete,undertake,short,faulty,meditate
compensate|deprive,wrong
unwearable|wearable
domination|revolution
erasure|enrolment,memorial
salinate|desalinate
bribe|vend
outcast|acclamation,quiet,silence,outcry,plaudit
fritter|frugal,be,provide,economize,cultivate,husband
nutritious|deleterious
dine out|eat in
brotherhood|browbeat,support,rally
edge|flatness,center,inactivity,dulness,bluntness,interior,inertness
antique|new,modern
jarring|melody,melodious
overpay|underpay
toxic|nontoxic
modernity|antiquity
turn away|admit
diagnosis|diadem
unreadiness|aptitude,ability
expand|attenuate,reduce,abbreviate,abridge,compress,shrink,contract,restrict,decrease,diminish,blast,condense,compass,wane,circumscribe,curtail,cramp,collapse
hateful|lovely,amiable,pleasant,loveable,benign,lovable,motherly
squander|hoard,economics,earn,inherit,conserve,amass
survey|criticize
malice|kindliness,will,benevolence,good
congruity|incongruity
dorsal|ventral,adaxial
iodinate|de-iodinate
gliding|abrupt
passionate|passionless,calm,placid,cold,sober
displace|fix,locality,put
incompetent|equal,effective,accomplished,adequate,able,potent,sufficient,suggestion,competent,proficient,skilful
investigate|conjecture,guess,teach
irreligious|religious
unready|ingenious,quick,ready,nimble,prompt,flowing,swift
high-bred|vulgar
k'ung futzu|dullness
considerable|little
productivity|aridity
snuff it|be born
unstructured|structured
sympathy|feud,antagonism,cold',ness,pitilessness,harshness,unkindness,hostility,enmity,opposition,antipathy,animosity,mercilessness
brief|effusive,infinite,permanent,prolix,tedious,endless,lengthy,diffuse,inflated,long
recover|die,fall,lose,record,deteriorate,boil
periwigged|bald
determine|halt,waver,vacillate,falter,doubt,hesitate,agitate,unsettle
cringing|brave,magnanimous
aerobic|anaerobic
unadoptable|adoptable
regretful|unregretful,ruthless
unmake|stake,make
focalise|blur
declassification|classification
equip|derange,despoil,divest,denude,dismantle
spiritual|mundane,sensuous,material,gross,subsidy,worldly,carnal,unspiritual,fleshly,tangible,temporal
prophetic|unprophetic
aroma|effluvium
wholesome|infectious,deleterious,hurtful,lethal,pernicious,sick,destructive,unwholesome,deadly,filthy,prejudicial,noxious,detrimental,putrid
truculence|pity
hissing|applause
harken|call
edit|falsify,mutilate,garble,distort,pervert
settled|vague,critical,desultory,unsettled,volatile,pray
lowered|raised
demureness|pertness
uncommitted|committed,attached
disingenuous|ingenuous,frank,artless,honest
pluckiness|gutlessness
reducible|irreducible
teemingness|scarcity
non-employment|vocation
minus|plus
conservative|radical,transitional,progressive,changeable,enterprising,innovating,modifiable,liberal
conference|dictation,monologue,silence,dispersion
activity|inertia,inaction,inactiveness,death,inactivity,indolence
iceaken|consolidate
grammatical|ungrammatical
repudiation|defrayment,acceptance,selection,aspiration,assertion,reception
dain|quote
unsubstantial|abiding
nonsignificant|significant
bad egg|good egg
disturb|filter,console,soothe,fix,accommodate,arrange,district,digest,settle
smug|haggard
unrimed|rhymed,poet
aiding|against
conjunct|disjunct
persist|fluctuate,go,relinquish,veer
welldisposed|envious
modifiable|conservative,unmodifiable
unemployed|employed
freshen|tire
metabolous|ametabolic
noblewoman|nobleman,Lord
stormy|calm,halcyon
insalubrious|healthy
abnegation|vindication,indulgence,proposal,concession,averment,allegation,deposition,affirmation,declaration,license,proffer,gratification,statement,claim,assertion,word
untimeliness|timeliness,season
crowned|uncrowned,unlaureled
diapsid|anapsid
oviparous|viviparous
partially|altogether,perfectly,wholly,bodily,whole,mainly
acquiescence|anxiety,insurrection
crossbred|purebred
country|urban area,estate
excellence|mediocrity,sin,inferiority
stammer|enunciate
diadem|misjudgment,diagnosis,error
unremorseful|penitent,repentant
enclosed|unenclosed
trivial|formidable,memoir,prominent,large,difficult,rich,enormous,onerous,heavy,eventful,important,serious,ineffable,urgent,valuable
awareness|incognizance
misadventure|effort
satisfactory|vain,nugatory,unsatisfactory,illusive,lame
distributive|collective
tactful|tactless
conscientious|lax,unprincipled,reprobate,unscrupulous,faithless,dissolute,dishonorable,graceless
war hawk|dove
authoritativc|groundless
venal|patriotic,unpurchasable,public-spirited,honest,generous,incorruptible,disinterested,honorable
^nt|eradicate
epidemic|endemic,ecdemic
townsman|peasant,countryman
waxing|waning
suppose|discover,prove,be,sure,ascertain,conclude,know,establish
upright|unerect,corrupt,invert,unprincipled,dishonest,unconscientious,erring,inclined,perfidious,dissolute,graceless,slippery,slanted,culprit,villainous,unscrupulous,knavish,vile,abandoned,inverted,wicked,wry
stimulative|depressant,corrective
infliction|sparing,pleasure,gratification,remission,accommodation,condoning
incorrectly|correctly,right,exactly
extract|insinuate,instil,garble
obscure|explain,splendid,distinct,radiant,vivid,glare,plain,celebrated,discernible,elucidate,enlighten,graphic,illuminate,brilliant,famous,illustrate,distinguished,nautical,gorgeous,legible,obvious,comment,maniac,lucid,discuss
holloic|acclivity
machine-wash|handwash
region|boundary
support|drop,abolish,impediment,vitiate,down,oppress,wreck,withstand,disappoint,cast,brotherhood,load,relinquish,let,abandonment,give,break,go,destroy,demolish,abandon,renunciation,throw,negate,betray,oppose,overthrow,desert
exasperating|pacific
deceive|apprise,institution,inform,deliver,enlighten,guide,disabuse,undeceive
consoling|cutting
destination|initiation,action,project,effort,movement
vertical|sloping,horizontal,unerect,slanting,inclined
damp|allure
puerile|virile
tight money|easy money
decamp|encamp
brighten|overcast,wane,darken
chop-chop|slowly
toothsome|unpalatable
exhumation|interment,burial
uncivilly|civilly
concomitant|antecedent,subsequent,diverse,unconnected
soliloquy|dialect,conversation
amphoteric|alkaline,acidic
inaesthetic|aesthetic
damn|bless
foist|authenticate,detect,verify,expose
deflection|aim,bearing,way
convalesce|deteriorate
attested|apocryphal,anonymous
location|studio
forego|obtain,vindicate,postdate,avenge,retain,insist,follow,acquire,seise,hold,grasp,partake,enforce,claim,assume
unhealthful|healthy,sanitary,healthful
biped|quadruped,quadrupedal
uncommonness|commonness
torment|enrapture,happiness,bliss,paradise,heaven,tool
infiltrating|ambassador
closing|opening
venom|nutrition,will,medicine,remedy,benevolence,good,kindness,nourishment
hazard|aim,save,consider,contrive,intend
depressed|high,buoyant,dignified,exultant,lofty
voluntary|necessitated,compulsory,forced,inductee,constrained,involuntary,coerced,draftee,incumbent
asleep|awake
enshrine|desecrate,lose,misplace,destroy,expose
perfunctoriness|uxl-
unrifled|rifled
method|conjecture,disorder,litter,empiricism,experimentation,guesswork,attempt,intricacy
ominous|encouraging,auspicious,propitious
unsjiapely|harmonious
vascular|avascular
exist|die
countermand|charge,instruct,direct,enjoin,bid,command,order
divested|fraught
inheritor|testator,devisor
ascension|fall
conjectures|data
back up|unclog
premonition|result
irruption|eruption
cerebral|emotional
misdemeanor|behavior
emaciation|fatness,corpulence,obesity
slander|encomium
capacity|narrowness,inability,inefficiency,incapacity,restriction,idiocy,contractedness,vncompetency,impotence
confess|conceal,recant,deny,hide,disavow,repudiate,dissemble
ghost|organism,animal,body,creature
drooping|energetic
illegibility|legibility
darn|embroider
dark|brilliant,illumed,happy,festive,bright,clear,crystalline,fair,hoary,lighting,radiant,transparent,vivid,white,buoyant,light,glaring,plain,luminous,dazzling,limpid,lucid,joyful,glassy
witty|stupid,prosaic,obtuse,tiresome,tedious,serious,dry,lugubrious,prosy,dull
catarrhine|platyrrhine,leptorrhine
illegalise|legalize
dare|flinch,adjure,elude,urge
robed|naked
branch out|specialise,specialize
illegality|legality
disrobe|dress,invest
retraotion|declaration
in the main|specifically
sunup|sunset
upstair|downstairs
oblivion|remembrance,celebrity,celebration,memory,gratitude,carpet,reminiscence,recollection,memorial,fame,catalogue,commemoration
contrive|chance,hazard,mismanage,bungle,bit,miscontrive,venture
pull round|succumb
emaciated|healthy,stout,bobber
decrement|increment,growth,increase
firmness|unsoundness,vacillation
unravel|entangle,ravel,knot,weave
cast on|cast off
edible|inedible,deleterious,dangerous,noxious,uneatable,poisonous,harmful
lastly|moreover
asset|liability
unimaginative|fertile,poet,imagination
inscrutable|intelligible,obvious,self-evident,familiar,explainable
date|eternity,non-duration
unevenness|evenness,letter
perverted|perfect
theoretical|conclusive,actual,applied,empirical,heal,empiric
data|conjectures,inferences,deductions,assumptions
draped|naked
rightful|felonious
negleot|attempt
ouess|inquiry
diploid|polyploid,haploid
realistic|unrealistic,romantic,poet
partisan|antagonist^,nonpartisan,opponent,adversary
unarticulate|articulate
erudition|illiterateness,stupidity,ignorance,duncedom,sciolism
upstage|downstage
development|principle,abortion,havoc,devolution,annihilation,embryo,germ,blight,consumption,grotesque,diagnostic,abatement
maxim|quibble,absurdity,enigma,06surdity,paradox,sophism
undecipherable|legible
untwist|twist,weave
spiritually|bodily
populated|idle
brisk|indolent,inactive,slow,sluggish,inert,dull,heavy,unenergetic,stagnant
spontaneity|effort,instrumentality
hilly|horizontal
famish|feed,be full
maladministration|diplomacy,management
dazzling|dark
ground|flourish,figure,outline,immerse,acme,grotesque,marsh
repression|indulgence,manumission,expression
dash|darling,heave
activeness|inaction,inactiveness,inactivity
ascititious|fundamental
penalty|reward,gift,premium,meed,propitiation,booty,mercy
exile|repatriate,domicile
sanctify|desecrate,defile
palingenesis|cenogenesis
disequilibrium|equilibrium
unsupportive|supportive
ungraciously|gracefully,graciously
refreshment|load,pang
daub|decorate,embellish,paint,cleanse,whiten
confidence|anxiety,pear,modesty,apprehension,alarm,diffidence,despair
dictator|hostage
arbitrary|obliging,equitable,considerate,lenient
unprintable|printable
repletion|need,insufficiency,scarcity,want,inanition,vacancy,lack
unskilled|heady,accomplished,skilled,proficient,skilful,versed
oath|benediction,blessing,benison
compliance|repulsion,disobedience,refusal,resistance,nonconformity
assured|pray
dignity|levity,abasement
leadless|leaded
autogamy|allogamy
snap|inelasticity
explanation|biddle
conjugation|disunion
lateness|earliness
unsagadous|shrewd
rupture|ligament
befog|elucidate
paragon|delinquent
pellucid|opaque
victor|catastrophe,loser
afflict|gladden,rejoice
wasted|healthy,enlarged
interspecies|intraspecific
offstage|onstage
sense organ|effector
unsocial|social
confirmative|corrective
yesteryear|future
everlasting|period,transient,transitory,ephemeral,yearly,mortal,temporal
switch on|switch off
untypical|typical
neutral|declared,negative,belligerent,interfering,avowed,flaring,irridescent,active,positive,interested,partial,allied
tonality|atonality
analysis|synthesis,divination,coherence,composition,abstraction,aggregation,union,combination
subjectively|objectively
incognizance|cognizance
exposure|dress,preservation,collusion,conservation,machination,refuge,shade,trick,cursory
correlation|opposition,incongruity,inconsistency,independence,contradiction
dawn|dazzle,illumine,instruct,sunset,clear,enlighten,illuminate,make
thoughtfully|unthinking
revived|unrevived
selfconceit|modesty
presumption|deference,bashfulness,fact,modesty,deduction,f,diffidence,certainty,proof,demonstration,hesitation,verification
humble|big,proud,arrogant,masterly,superb,lofty,kingdom,eminent,consequential,high,absolute,assuming,pretentious,liaise,elevate,maintenance,lordly,boastful
folly|sobriety,genius,judgment,lore,sanity,utility,sense,ability,prudence,wisdom,accomplishment
obedient|obstinate,unyielding,masterly,arrogant,stubborn,disobedient,wayward,wilful,obdurate,undutiful,restive,rebellious,disrespectful,hard
glossy|rough
dispirit|exhibition,enliven,gladden,elate
nonfunctional|functioning
deluge|ebb
disband|contumely,organize,enlist
borrowed|intrinsic
higher-up|inferior
sharpen|flatten,blur,soften,axt,dull
unhallow|consecrate
stupefaction|perspicacity
kernel|peeling,husk,shell,meat
unexposed|vulnerable
borrower|lender
tardy|heady,quick,eager,doomed,prompt,fashion,swift
subsurface|surface,overhead
faced|faceless
motorless|motorized
persistence|conversion
combined|mere,uncombined,simple
disguise|feature,corruption,emblem
imperial|beggarly,slavish,mean,paltry,ignoble,servile
liberal|grasping,mercenary,narrative,sordid,extortionate,penurious,bigoted,literal,jealous,bigot,parentage,selfish,mean,greedy,vile,close,covetous,orthodox
harmony|disunion,antagonism,schism,hostility,disproportion,enmity,opposition,antipathy,separation,warfare,noise,action,incongruity,contest,disagreement,dissonance,discordance,medley,contention,controversy,battle,collision,dissension,discord,discrepancy,variance,animosity,altercation,difference,inconsistency,conflict
open up|close up,close
chill|heat,warmth,allure
unfurl|roll up
unclip|clip
reunite|rend
orthodoxy|unorthodoxy,heresy
misdemean|behave,comport
incredulity|credulity,faith
impalpable|visible,elementary,discernible,palpable,tangible
inquisitive|careless,uninterested,indifferent,apathetic,unconcerned,heecless,inattentive
dismount|arise
conversation|jarg-on,monologue,speech,taciturnity,correspondence,harangue,oration,soliloquy,apostrophe,silenoe
controvert|attest
revival|abeyance
vulgarize|embalm
strange|habitual,usual,ordinary,familiar,commonplace,home,domestic,general,common,native,customary,conversant,universal,accustomed,regular
external|profound,internal,non-apparent,intestine,inward,hidden,messenger,inmost,intrinsic,inner,inherent
slightness|crassitude
circumstance|business,affair,deed,case,transaction
aickicard|goodly
matter-offact|poet
reappearance|plight
salutation|good-by,valediction,farewell
creature|chimera,conceit,phantom,ghost,fantasy,hallucination,nature,crotchet
child|parent
withholding|oblation,contribution
anoestrum|estrus
mismanagement|diplomacy,management,accomplishment
divided|united,whole,entire
anoestrus|estrus
inoculation|elision
wisdom|indiscretion,folly,stupidity,imprudence,idiocy,fatuity,silliness,error,infatuation,nonsense,senselessness,miscalculation,absurdity,ignorance,foolishness,judgment,mis,unsoundness,imbecility
frus-|accomplish
pear|assurance,trust,confidence,fearlessness,boldness,fortitude,courage
confinement|space
secrecy|demonstration,announcement
divider|lumper
normalcy|abnormality
come on|regress,go off
treasure|forget,refuse,bubble,dregs,offal,lose,trifles,trash
fulness|paucity,inanition,vacancy,vacuity
unsilenced|silenced
engender|extinguish,blioht,stifle,destroy
puritanical|voluptuous
year-around|seasonal
peak|off-peak
there|here,hither
hopeless|auspicious,hopeful
convexly|concavely
sound off|cheer
cheerfulness|woe
infield|outfield
generousness|stinginess
exterminate|augment,populate,t,plant,foster,settle,cherish,develop,increase,breed,replenish
nonharmonic|harmonic
pc-riorlir|casual
afore|after
fruitlessly|productively,profitably,fruitfully
proceed|discontinue,falter,digress,abide
heedfulness|heedlessness
birth|extinction,death
confirmation|allowance,abrogation
unaddressed|addressed
simultaneousness|interval
tanned|untanned
recurrence|plight
assisted|unassisted
loving|unloving
doubter|bigot
uniting|disunion
breasted|breastless
superficiality|research
dishevel|braid
unlamented|lamented
assumed|nation,plain,innate,intrinsic
dismantling|assembly
vulgarity|solemnity,refinement
irregular|equal,formal,horizontal,normal,uniform,constant,habitation,periodical,certain,wonted,regular
shaved|unshaven,unshaved
exsiccate|hydrate
antenuptial|postnuptial
obligatorily|optionally
injured|uninjured,intact
prevalence|diminution,abolition,subjection,subsidence,decay,evanescence,disappearance,collapse,destruction,desuetude,subordination
tainted|immaculate,pure
catadromous|anadromous,diadromous
peer|monarch
surly|amiable
shaven|unshaven
heavy-footed|light-footed
unschooled|academical
tie in|dissociate
declarative|interrogative
piecemeal|altogether,bodily
elide|interpolate
lose weight|gain
devalue|appreciate
peel|dress
ungrudgingly|grudgingly
homely|lovely,bonny,sweet,home
ineffectual|effective,efficacious,fruitful,cogent,useful
offensiveness|innocence
mirth|meeting,grief
unskilfulness|aptitude,power
asperity|dullness,ask
prohibit|allow,give,direct,empower,require,enjoin,permission,consent,command,put,license,with,suffer,sanction,permit,let,warrant,up,to,authorize,order,tolerate
galling|emollient
chide|wheedle,cajole
appropriated|outstanding
broadening|narrowing
estrous|anestrous
hornless|horned
outspan|inspan
manner|performance,business,work,action,project,proceeding,being,bosom,life
foresee|remember,recollect,reflect,deduce,recall
anaesthetize|bring to
self-concern|altruism
come up|set,fall,go off
members|mind
mineral|animal,vegetable
stock|branch,example
verification|forgery,vaticination,distortion,presumption
climb on|hop out
surge|ebb
accumulation|expenditure,prodigality,unit,individual,separation,segregation,leakage
undock|dock
voluble|taciturn,stuttering,slow,hesitating,creeping,lazy,torpid,direct,stammering,deliberate
heroic|cowardly,cravenly,dastardly,timorous,fearful
belittle|flatter
hotness|coldness
choke up|unstuff
hygienic|poisonous
confiscation|booty
bring off|fail
clumsily|featly
rarely|often
vanquish|fail,yield,succumb
pay up|default
abide by|disrespect
complication|solution
fruit|seed,origin,cause,germ,growth,operation
accost|rebuff,pass,repulse,ignore,check,shun,avoid,depart,elude
afoot|unprovided,inactive,latent,unprepared,for,sluggish
cause|result,consequence,issue,accrue,arise,fruit,term,occurrence,event,follow
grievous|acceptable
despise|esteem,regard,admire,yearn,revere,covet,respect,venerate
agitated|calm,still,unagitated,placid,sedate,sober
vulgar|polite,cultivated,select,august,technical,accurate,scientific,awful,dainty,kingdom,high-bred,stylish,aristocratic,unique,noble,patrician,refined,philosophical,ineffable,choice,strict,maintenance,high-born
cypher|decode
intended|unintended,accidental
misinform|institution,notification,inform,certify,advertise
design|lot,chance,luck,coincidence
working|idle
skulk|hector,flaunt
department|organization,whole
stricture|panegyric
incantation|exorcism,evocation
unsaleable|salable
allude|declare,specify,demonstrate
starchless|starchy
chagrin|triumph,rejoicing,exultation,delight,glory
chief|agent,deputy
accord|deny,withhold,refuse,disagreement,disagree,differ
uncontested|contested
inanition|plethora,significance,repletion,livelihood,nutriment,meaning,sustenance,resources,fulness
disintegrate|stake,amalgamate,unite,integrate
euphemism|dysphemism
uninspiring|inspiring
groan|carol
merchandise|shopman,retailer,pedler,merchant,salesman,huckster
obey|disobey,refuse,kick,govern,resist,dictate
top out|bottom out
renunciation|vindication,confession,defense,assertion,justification,reception,maintenance,support,apology
conformist|nonconformist
disoblige|accommodate,oblige
chasteness|finery
satiety|amusement
apparatus|electric
impiousness|piety
